variant,group,aggregation_mode,included_indicators,indicator_count,ann_return,ann_vol,sharpe,max_drawdown,calmar,avg_turnover,ending_equity_net,periods,buy_count,hold_count,sell_count,delta_sharpe_vs_baseline,rank_by_sharpe
full_equal_weight_aggregation,aggregation_comparison,equal_weight,"spx_trend,bcom_trend,credit_vs_rates,risk_breadth",4,0.07092419943478778,0.07672121277401321,0.9337938790632342,-0.16767783111002332,0.4229789887266029,0.17248603351955302,7.7232871351403976,358,200,0,145,0.09593465487615083,1
single_indicator_spx_trend,single_indicator,dynamic,spx_trend,1,0.06766534204156294,0.07462947280238048,0.9167728214768568,-0.16086047032582995,0.42064617804799287,0.13337988826815642,7.052046429161966,358,189,23,148,0.07891359728977343,2
leave_one_out_bcom_trend,leave_one_out,dynamic,"spx_trend,credit_vs_rates,risk_breadth",3,0.06799809224520903,0.07738138827440054,0.8909425154096315,-0.2237968335104541,0.30383849127173945,0.20041899441340777,7.117911130035039,358,199,15,146,0.05308329122254818,3
leave_one_out_spx_trend,leave_one_out,dynamic,"bcom_trend,credit_vs_rates,risk_breadth",3,0.06904957574536441,0.07910608692607063,0.8857102575580349,-0.1884897226664728,0.3663307196199003,0.1892458100558659,7.329973268204888,358,205,15,140,0.047851033370951535,4
single_indicator_risk_breadth,single_indicator,dynamic,risk_breadth,1,0.0678382229770691,0.07787318285804577,0.8837988806626074,-0.15462395694112985,0.43873035148684764,0.22835195530726252,7.086192682858116,358,196,15,149,0.045939656475524004,5
single_indicator_credit_vs_rates,single_indicator,dynamic,credit_vs_rates,1,0.06983138031224967,0.0804785043367837,0.8810807908292677,-0.2628668694940982,0.2656530297889727,0.23114525139664796,7.491591455080712,358,194,15,151,0.04322156664218435,6
leave_one_out_credit_vs_rates,leave_one_out,dynamic,"spx_trend,bcom_trend,risk_breadth",3,0.06417824950255735,0.0769619756706448,0.848575179850519,-0.16767783111002332,0.38274737380427,0.17807262569832402,6.396301851922383,358,197,15,148,0.010715955663435639,7
baseline_dynamic_all,baseline,dynamic,"spx_trend,bcom_trend,credit_vs_rates,risk_breadth",4,0.06329698638716907,0.07695453172144481,0.8378592241870834,-0.22082102378745228,0.2866438407970365,0.18924581005586588,6.240150431218519,358,197,15,148,0.0,8
leave_one_out_risk_breadth,leave_one_out,dynamic,"spx_trend,bcom_trend,credit_vs_rates",3,0.06190059809556203,0.07690200513852663,0.8212139577666405,-0.2208210237874524,0.28032022057439343,0.18365921787709494,6.000240408415072,358,200,15,145,-0.01664526642044284,9
single_indicator_bcom_trend,single_indicator,dynamic,bcom_trend,1,0.04553775607257338,0.07798618941061604,0.610911974125624,-0.18996545431086898,0.23971598540255173,0.12779329608938544,3.7754465724001025,358,170,23,167,-0.22694725006145933,10
